21:44:22 [main] INFO  LumaStore.testCases.BaseClass - Batch Run:1716740056256
21:44:23 [main] INFO  LumaStore.testCases.BaseClass - Indexpage validated
21:44:23 [main] INFO  LumaStore.testCases.BaseClass - Indexpage Title validated
21:44:24 [main] INFO  LumaStore.testCases.BaseClass - Signin link clicked
21:44:24 [main] INFO  LumaStore.testCases.BaseClass - Login page navigated
21:44:24 [main] INFO  LumaStore.testCases.BaseClass - User creds entered
21:44:28 [main] INFO  LumaStore.testCases.BaseClass - Sign in clicked
21:44:29 [main] INFO  LumaStore.testCases.BaseClass - Login validated
21:44:29 [main] INFO  LumaStore.testCases.BaseClass - Product List validated, Product count is: 6
21:44:29 [main] INFO  LumaStore.testCases.BaseClass - Mens tag clicked
21:44:31 [main] INFO  LumaStore.testCases.BaseClass - Navigated to desired Product-Jackets
21:44:31 [main] INFO  LumaStore.testCases.BaseClass - Select Product category validated, Product Category: Jackets
21:44:32 [main] INFO  LumaStore.testCases.BaseClass - Sorted based on Price
