07:04:56 [main] INFO  LumaStore.testCases.BaseClass - Place Order
07:05:07 [main] INFO  LumaStore.testCases.BaseClass - Checkout validated
07:05:07 [main] INFO  LumaStore.testCases.BaseClass - Order Confirmed: 000003806
07:05:09 [main] INFO  LumaStore.testCases.BaseClass - Pending Order Num is: 000003806
07:05:09 [main] INFO  LumaStore.testCases.BaseClass - Order number validated
07:05:09 [main] INFO  LumaStore.testCases.BaseClass - Retrieved stored payment total: $94.00
07:05:09 [main] INFO  LumaStore.testCases.BaseClass - Retrived stored price is: $94.00
07:05:09 [main] INFO  LumaStore.testCases.BaseClass - Total price is: $94.00
07:05:09 [main] INFO  LumaStore.testCases.BaseClass - Total Order price validated
07:05:10 [main] INFO  LumaStore.testCases.BaseClass - Batch Run:1716860057266 completed
20:05:43 [main] INFO  LumaStore.testCases.BaseClass - Batch Run:1716906936634
20:05:44 [main] INFO  LumaStore.testCases.BaseClass - Indexpage validated
20:05:44 [main] INFO  LumaStore.testCases.BaseClass - Indexpage Title validated
