16:49:43 [main] INFO  LumaStore.base.TestBase - Batch Run:1717845578088
16:49:44 [main] INFO  LumaStore.base.TestBase - Indexpage validated
16:49:44 [main] INFO  LumaStore.base.TestBase - Indexpage Title validated
16:49:44 [main] INFO  LumaStore.base.TestBase - Batch Run:1717845578088 completed
16:52:17 [main] INFO  LumaStore.base.TestBase - Batch Run:1717845731813
16:52:18 [main] INFO  LumaStore.base.TestBase - Indexpage validated
16:52:18 [main] INFO  LumaStore.base.TestBase - Indexpage Title validated
16:52:18 [main] INFO  LumaStore.base.TestBase - Batch Run:1717845731813 completed
17:16:59 [main] INFO  LumaStore.base.TestBase - Batch Run:1717847212695
17:16:59 [main] INFO  LumaStore.base.TestBase - Generating new report...
17:16:59 [main] INFO  LumaStore.base.TestBase - New report generated.
17:16:59 [main] INFO  LumaStore.base.TestBase - Indexpage validated
17:16:59 [main] INFO  LumaStore.base.TestBase - Indexpage Title validated
17:17:01 [main] INFO  LumaStore.base.TestBase - Batch Run:1717847212695 completed
